iter	Logloss
0	0.6878058911
1	0.6838339206
2	0.6799658591
3	0.6754195818
4	0.6713419001
5	0.6675491881
6	0.66400644
7	0.6605568564
8	0.6579781949
9	0.655152481
10	0.6530417912
11	0.6511352453
12	0.6491418429
13	0.6473418402
14	0.6452734348
15	0.6431945623
16	0.6413927572
17	0.6402501745
18	0.6390077727
19	0.6375227548
20	0.635809054
21	0.6341961428
22	0.6329230327
23	0.6317857875
24	0.6306373127
25	0.6290568428
26	0.6278947815
27	0.6269705531
28	0.6258508456
29	0.6249293208
30	0.6244238477
31	0.6233423348
32	0.6225844025
33	0.6219455599
34	0.6212800989
35	0.6205226517
36	0.6195930858
37	0.6188574741
38	0.6180650209
39	0.6176565249
40	0.6169076733
41	0.6162360429
42	0.6156918899
43	0.6149028333
44	0.6143035718
45	0.6137832645
46	0.613254223
47	0.6125742743
48	0.6120201393
49	0.6115459984
50	0.6112342715
51	0.6107809261
52	0.6101947659
53	0.6096410469
54	0.6092837775
55	0.6088038137
56	0.6082826052
57	0.6078420146
58	0.6076187385
59	0.6072898899
60	0.6067945373
61	0.6064245826
62	0.6060199684
63	0.6056613126
64	0.6051197937
65	0.6047715358
66	0.6044861501
67	0.6041327625
68	0.6038749657
69	0.6035405022
70	0.6032554631
71	0.6029609272
72	0.602786729
73	0.602494342
74	0.6021501046
75	0.6019081124
76	0.601597564
77	0.6011851168
78	0.6008820547
79	0.6007081337
80	0.6004182423
81	0.600038167
82	0.5998914883
83	0.5996350778
84	0.599490548
85	0.5992861267
86	0.5990119706
87	0.5988302859
88	0.5985930074
89	0.5983976669
90	0.5981094391
91	0.5978803403
92	0.5975587701
93	0.5973599636
94	0.5971495116
95	0.5969934055
96	0.5968081855
97	0.5966038335
98	0.5963736949
99	0.5961187402
100	0.5959096745
101	0.5956372514
102	0.5954818385
103	0.595254334
104	0.5949836439
105	0.5948311424
106	0.5946790568
107	0.5943871551
108	0.5941455789
109	0.593970826
110	0.5937441534
111	0.5935850666
112	0.5934802565
113	0.5932654374
114	0.5931000426
115	0.5928467515
116	0.592539253
117	0.5923159077
118	0.5921456605
119	0.591880308
120	0.5916964744
121	0.5914255069
122	0.591299
123	0.5912367517
124	0.5910447385
125	0.5907302388
126	0.5905421767
127	0.5904167096
128	0.5902212304
129	0.5900383673
130	0.5899879725
131	0.5897870171
132	0.5896110165
133	0.5894838858
134	0.5893683312
135	0.5891881022
136	0.5890548714
137	0.5888369329
138	0.5887239431
139	0.5886197569
140	0.5883483736
141	0.5882616557
142	0.5880446183
143	0.587883244
144	0.5876769511
145	0.5875565443
146	0.5874210259
147	0.5872222887
148	0.5870846908
149	0.5867807276
150	0.5866698868
151	0.5865205739
152	0.5864156945
153	0.5861505499
154	0.5860881629
155	0.5858619062
156	0.585712732
157	0.5855919785
158	0.585457084
159	0.5853683559
160	0.5853153963
161	0.5852472559
162	0.5851583198
163	0.5849700497
164	0.5848531782
165	0.5847368611
166	0.584606403
167	0.5844378196
168	0.5843009841
169	0.5842108696
170	0.5841034254
171	0.5839157099
172	0.5837371446
173	0.5835861681
174	0.583463751
175	0.5834108607
176	0.5833459089
177	0.5829993146
178	0.5828753032
179	0.5826337963
180	0.5825038235
181	0.5823292093
182	0.5822490073
183	0.5820722443
184	0.5819327747
185	0.5817249568
186	0.5816012226
187	0.5815432027
188	0.5815112467
189	0.5813963507
190	0.5813201693
191	0.5812216326
192	0.5811501648
193	0.581048786
194	0.5809792245
195	0.580898884
196	0.5808185434
197	0.5805671932
198	0.5804533717
199	0.5803144913
200	0.5802519657
201	0.5801332572
202	0.5800649088
203	0.5798728262
204	0.5797650008
205	0.5796394296
206	0.5795359713
207	0.5794723019
208	0.5792728715
209	0.5791566931
210	0.5790095985
211	0.5789293966
212	0.5788374451
213	0.5787599813
214	0.5786685151
215	0.5785979138
216	0.5784749422
217	0.5783245549
218	0.5782018259
219	0.5781062352
220	0.5778985559
221	0.5778141948
222	0.5776708434
223	0.5775925824
224	0.577532379
225	0.5774293712
226	0.5771726488
227	0.5770188649
228	0.5769019587
229	0.5767196847
230	0.5766248219
231	0.5766242673
232	0.5765665247
233	0.5763355543
234	0.5762153207
235	0.5761760863
236	0.5760720387
237	0.5759837611
238	0.575794382
239	0.5757629459
240	0.5756289525
241	0.575527643
242	0.5754745448
243	0.5753939616
244	0.5752454459
245	0.5751461813
246	0.5750066771
247	0.5748745901
248	0.5747399035
249	0.5745917691
250	0.5744792646
251	0.5743871399
252	0.5742997288
253	0.5742596278
254	0.5740397831
255	0.5739816939
256	0.5739331707
257	0.5738836077
258	0.5738181014
259	0.5736934661
260	0.5736336439
261	0.5735600273
262	0.573478231
263	0.5733806301
264	0.5731882009
265	0.5731391232
266	0.5730610701
267	0.5729387917
268	0.5728478107
269	0.5727293794
270	0.5726362842
271	0.5724620512
272	0.5723548496
273	0.5722311154
274	0.5721421794
275	0.5720820799
276	0.5719986547
277	0.5719031679
278	0.5718165194
279	0.5716507433
280	0.5715307524
281	0.571404696
282	0.5712905279
283	0.5711760478
284	0.5710782735
285	0.5709193947
286	0.5708057465
287	0.5707239155
288	0.5706653758
289	0.5705821931
290	0.5704422384
291	0.5702863056
292	0.5702154617
293	0.5700961986
294	0.5699458807
295	0.569807139
296	0.5697093647
297	0.569613982
298	0.569489312
299	0.5694271677
